date,text,views,forwards,replies
2025-05-02 09:32:33+00:00,"**Все жалуются, что мир летит в пропасть. Вообще-то мы уже давно там — и наш новый **[**тест**](https://meduza.io/quiz/eto-bylo-25-let-nazad-ili-nedavno-ugadayte-po-zagolovku)** вас в этом убедит (увы!)**

Недавно мы листали архив «Еженедельного журнала» и заметили, что заголовки 20-летней давности легко перепутать со свежими новостями. Удивительно? Да, учитывая, как часто в последние годы кажется, что мир летит в пропасть. Грустно? Очень, потому что история и впрямь ходит по кругу. Не верите? Убедитесь в этом сами — в нашем новом тесте, который мы сделали вместе с [RIMA](https://t.me/svobodasnova?utm_source=ej_test&utm_medium=meduza&utm_campaign=test) (Архивом российских независимых медиа). Мы вам — 10 заголовков, а вы — попробуйте определить, какие из них современные, а каким — 20 лет в обед.

Открыть [с VPN](https://meduza.io/quiz/eto-bylo-25-let-nazad-ili-nedavno-ugadayte-po-zagolovku) | [без VPN](https://bit.ly/meduzamirror#/quiz/eto-bylo-25-let-nazad-ili-nedavno-ugadayte-po-zagolovku)",162440,564,0
2025-05-02 08:55:47+00:00,"**Партию «Альтернатива для Германии» признали «правоэкстремистской» на федеральном уровне**

Федеральное ведомство по охране конституции ФРГ классифицировало партию «Альтернатива для Германии» (АдГ) как «убежденную правоэкстремистскую организацию» — из-за экстремистского характера всей партии, которая игнорирует человеческое достоинство, [говорится](https://bit.ly/meduzamirror#/news/2025/05/02/partiyu-alternativa-dlya-germanii-priznali-pravoekstremistskoy-na-federalnom-urovne) в пресс-релизе ведомства.

Федеральное ведомство работало над оценкой АдГ уже несколько месяцев, однако на федеральном уровне она до сих пор проходила по категории «подозрение на правый экстремизм». Статус, полученный сейчас, означает, что вся партия считается неконституционной, поясняет Der Spiegel. Это снижает барьеры для наблюдения за партией с помощью разведывательных средств и позволяет прослушивать телефоны и вербовать информаторов, пишет газета.

В ведомстве по защите конституции отмечают, что «понимание народа, основанное на этническом происхождении», которое преобладает в АдГ, «несовместимо с основным свободным демократическим порядком». Например, партия не считает немцев «с историей миграции из преимущественно мусульманских стран равноправными членами немецкого народа».",158070,579,0
2025-05-02 08:18:15+00:00,"**Российские войска нанесли удар беспилотниками по Запорожью. Пострадали 29 человек, поврежден завод по ремонту локомотивов**

Вечером 1 мая российские войска атаковали Запорожье дронами типа «Шахед», [сообщил](https://t.me/ivan_fedorov_zp/18978) глава областной военной администрации Иван Федоров.

В результате атаки пострадали, по последним данным, 29 человек.Двое пострадавших находятся в тяжелом состоянии, еще четверо — в состоянии средней тяжести, [уточнил](https://t.me/ivan_fedorov_zp/18993) Федоров. 

Повреждены, по словам Федорова, 27 многоэтажек, более 10 частных домов, нежилые здания и учебные заведения. Кроме того, как [сообщили](https://t.me/UkrzalInfo/6847) в «Украинских железных дорогах», атаке подвергся локомотиворемонтный завод в Запорожье — гражданское предприятие, специализирующееся на ремонте пассажирских электровозов. Персонал предприятия в момент атаки находился в укрытии, погибших и раненых нет.

Фото: Иван Федоров",154240,38,0
2025-05-02 07:47:20+00:00,"**Глава МИД Франции заявил, что ЕС готовит новый пакет санкций против России на случай, если Москва откажется от прекращения огня**

Евросоюз готовит новый пакет санкций против России, который планируется скоординировать с США — на случай, если Москва продолжит отказываться от прекращения огня в Украине, [заявил](https://bit.ly/meduzamirror#/news/2025/05/02/glava-mid-frantsii-zayavil-chto-es-gotovit-novyy-paket-sanktsiy-protiv-rossii-na-sluchay-esli-moskva-otkazhetsya-ot-prekrascheniya-ognya) министр иностранных дел Франции Жан-Ноэль Барро агентству AFP.

«Мы, европейцы, поддержим эту американскую инициативу семнадцатым пакетом санкций, и я вчера пообещал [американскому сенатору] Линдси Грэму, что мы постараемся скоординировать эти два пакета санкций — как по содержанию, так и по срокам», — сказал Барро. 

Подробностей относительно того, что может войти в новый пакет санкций, не сообщается.

Глава МИД Франции назвал Владимира Путина «единственным препятствием» на пути к миру в Украине, отметив, что Киев «выполнил свою часть сделки».

———

Накануне сенатор-республиканец Линдси Грэм заявил, что 72 его коллеги поддержали законопроект о «сокрушительных» санкциях в отношении России, которые введут, если Москва откажется от мирных переговоров. Трамп после своего вступления в должность президента уже продлевал санкции против России, введенные в 2021 году Джо Байденом в связи с «угрозой нацбезопасности» Америки. После удара российских войск по Киеву в ночь на 24 апреля Трамп также предположил, что Владимир Путин «возможно, не хочет останавливать войну», и с ним «нужно обращаться по-другому, через „банковские“ или „вторичные санкции“».",160602,77,0
2025-05-02 07:27:01+00:00,"**ФСБ отчиталась о задержании жительницы Дагестана, обвиняемой в подготовке теракта в Хасавюрте на 9 мая**

В Дагестане задержана местная жительница, которую обвиняют в подготовке взрыва у административного здания правоохранительных органов в городе Хасавюрт на 9 мая, [заявили](https://bit.ly/meduzamirror#/news/2025/05/02/fsb-otchitalas-o-zaderzhanii-zhitelnitsy-dagestana-obvinyaemoy-v-podgotovke-terakta-v-hasavyurte-na-9-maya) в ФСБ.

В спецслужбе задержанную 1996 года рождения называют «сторонницей международной террористической организации». При задержании у нее изъяли компоненты для изготовления самодельного взрывного устройства, говорится в пресс-релизе Центра общественных связей ФСБ.

На видео, опубликованном спецслужбой, задержанная (ее лицо скрыто) говорит, что познакомилась в «исламской группе» в телеграме с человеком по имени Абдулла, который просил ее фотографировать разные организации в Хасавюрте и давал задания купить компоненты взрывчатки, чтобы она совершила теракт 9 мая — «либо подложила, либо сама подорвалась».

В ФСБ утверждают, что задержанная планировала совершить теракт в отношении сотрудников правоохранительных органов. По информации спецслужбы, ее переписка с собеседником в телеграме содержала «обсуждение планируемого подрыва и присягу террористической группировке».",163592,37,0
2025-05-02 07:16:16+00:00,"**Три года назад Дмитрий Романов попросил российские власти лишить его гражданства. Сейчас это произошло. Интервью комика (а точнее уже лайфкоуча)**

22 апреля 2025 года стало известно, что комиков Дмитрия Романова и Славу Комиссаренко лишили российского гражданства по инициативе ФСБ и запретили им въезд в страну. Весной 2022 года Дмитрий Романов дал интервью Юрию Дудю, в котором обратился к российским властям с просьбой лишить его гражданства России, а в начале 2024-го объявил, что прекращает быть стендап-комиком и начинает работать с клиентами как тренер личностного роста. «Медуза» узнала у Романова, что для него значит решение российских властей и почему он разочаровался в комедии.

Открыть [с VPN](https://meduza.io/feature/2025/05/02/tri-goda-nazad-dmitriy-romanov-poprosil-rossiyskie-vlasti-lishit-ego-grazhdanstva-seychas-eto-proizoshlo-intervyu-komika-a-tochnee-uzhe-layfkoucha) | [без VPN](https://bit.ly/meduzamirror#/feature/2025/05/02/tri-goda-nazad-dmitriy-romanov-poprosil-rossiyskie-vlasti-lishit-ego-grazhdanstva-seychas-eto-proizoshlo-intervyu-komika-a-tochnee-uzhe-layfkoucha)",164161,219,0
2025-05-02 07:04:36+00:00,"**«Мы собираемся снова начать праздновать наши победы». Трамп **[**объявил**](https://bit.ly/meduzamirror#/news/2025/05/02/my-sobiraemsya-snova-nachat-prazdnovat-nashi-pobedy-tramp-ob-yavil-8-maya-dnem-pobedy-vo-vtoroy-mirovoy-voyne)** 8 мая Днем Победы во Второй мировой войне**

Многие из наших союзников и друзей празднуют 8 мая как День Победы, но мы сделали больше, чем любая другая страна, в достижении победного результата во Второй мировой войне. Я переименовываю 8 мая в День Победы во Второй мировой войне, а 11 ноября — в День Победы в Первой мировой войне.

Мы выиграли обе войны, никто не был близок к нам по силе, смелости или военному мастерству, но мы никогда ничего не празднуем — это потому, что у нас больше нет лидеров, которые знают, как это делать! Мы собираемся снова начать праздновать наши победы! — написал Трамп в соцсети Truth Social.",169258,890,0
2025-05-02 06:54:49+00:00,"**В Москве и области **[**выпал**](https://t.me/msk1_news/73612)** снег. Более 25 тысяч жителей Подмосковья остались без света, деревья попадали на автомобили**

В ночь на 2 мая в Москве и области прошел сильный снегопад. По [словам](https://t.me/vorobiev_live/8782) губернатора Московской области Андрея Воробьева, в результате образовалась наледь на проводах, упало большое количество деревьев. По всей обесточены 237 линий электропередач, 26 тысяч человек остались без электричества. Больше всего пострадали северные и северно-западные округа — Талдом, Дмитров и Сергиев Посад, добавил Воробьев.

Деревья, падавшие под тяжестью мокрого снега, также повредили десятки автомобилей как в Подмосковье, так и в Москве. Департамент транспорта Москвы [предупредил](https://t.me/DtOperativno/21032), что из-за непогоды возможны задержки наземного транспорта.

Ведущий специалист центра погоды «Фобос» Евгений Тишковец сообщил, что ночью в Москве побит рекорд по осадкам 116-летней давности.",168933,1792,0
2025-05-02 06:46:05+00:00,"**Создатели Skype были рок-звездами в мире IT. Они научили сотни миллионов человек звонить через интернет и умудрились продать свое приложение дважды. Последний владелец — Microsoft — не смог развить успех сервиса и решил его закрыть**

В конце февраля компания Microsoft объявила, что в ближайшие месяцы сервис Skype прекратит свою работу. Поддержка мессенджера и платформы для звонков прекратится 5 мая 2025 года. Компания утверждает, что никаких сокращений в штате не будет, и предлагает пользователям бесплатно перейти в другой ее сервис — Teams, на котором команда разработчиков теперь сосредоточится полностью. «Медуза» вспоминает историю Skype, который навсегда изменил телефонию, но не смог в итоге угнаться за современными технологиями.

Открыть [с VPN](https://meduza.io/feature/2025/05/02/sozdateli-skype-byli-rok-zvezdami-v-mire-it-oni-nauchili-sotni-millionov-chelovek-zvonit-cherez-internet-i-umudrilis-prodat-svoe-prilozhenie-dvazhdy) | [без VPN](https://bit.ly/meduzamirror#/feature/2025/05/02/sozdateli-skype-byli-rok-zvezdami-v-mire-it-oni-nauchili-sotni-millionov-chelovek-zvonit-cherez-internet-i-umudrilis-prodat-svoe-prilozhenie-dvazhdy)",167216,769,0
2025-05-02 06:32:46+00:00,"**В Госдепартаменте заявили, что США больше не будут «летать по всему миру по первому зову, чтобы выступать посредниками» на встречах России и Украины**

США в рамках изменения подхода к переговорам по мирному соглашению больше не будут «летать по всему миру», чтобы выступать посредниками между Россией и Украиной, [сказала](https://bit.ly/meduzamirror#/news/2025/05/02/v-gosdepartamente-zayavili-chto-ssha-bolshe-ne-budut-letat-po-vsemu-miru-po-pervomu-zovu-chtoby-vystupat-posrednikami-na-vstrechah-rossii-i-ukrainy) пресс-секретарь Госдепартамента Тэмми Брюс.

По словам Тэмми Брюс, госсекретарь США Марко Рубио «ясно дал понять», что «методология того, как США вносят свой вклад» в переговоры изменится в том, что они больше не будут посредниками. «Мы, безусловно, по-прежнему привержены этому и будем помогать и делать все, что можем. Но мы не собираемся летать по всему миру по первому зову, чтобы выступать посредниками на встречах», — сказала она, отвечая на вопрос, рассматривает ли Дональд Трамп введение вторичных санкций в отношении России.

Настало время для обеих сторон, по словам Тэмми Брюс, «представить и разработать конкретные идеи о том, как этот конфликт закончится». Она также добавила, что США «очевидно не снимают никаких санкций, которые сейчас действуют» в отношении России.

Госсекретарь США Марко Рубио в интервью Fox News отметил, что позиции России и Украины «все еще немного далеки друг от друга». По его словам, «Путин не может захватить всю Украину, Украина не может отбросить Россию туда, где она была до 2014 года».

США, как сказал Рубио, не собираются отказываться от попыток достичь мирного соглашения и будут готовы помочь, но в какой-то момент Трамп «должен решить, сколько еще времени» он готов уделять этому вопросу, поскольку есть много «более важных проблем, происходящих по всему миру». «Не то чтобы война на Украине не важна, но я бы сказал, что то, что происходит с Китаем, важнее в долгосрочной перспективе для будущего мира», — добавил он.",181533,323,0
2025-05-01 18:37:54+00:00,"**Трамп **[**заявил**](https://bit.ly/meduzamirror#/news/2025/05/01/tramp-zayavil-chto-uoltsa-naznachat-postpredom-ssha-pri-oon-smi-soobschali-o-ego-gryaduschey-otstavke-iz-za-signalgeyta)**, что Уолца назначат постпредом США при ООН**

Советник по национальной безопасности Майк Уолц будет назначен постпредом Соединенных Штатов при ООН, сообщил президент США Дональд Трамп.

«Со времени службы в военной форме на поле боя, в конгрессе и в качестве моего советника по национальной безопасности Майк Уолц упорно трудился, чтобы поставить интересы нашей страны на первое место. Я знаю, что он будет делать то же самое в своей новой роли», — написал Трамп.

В свою очередь госсекретарь США Марко Рубио будет временно исполнять обязанности советник президента по нацбезопасности. При этом он продолжит руководить Госдепартаментом.

———

О грядущей отставке Майка Уолца с поста советника президента США по национальной безопасности днем 1 мая сообщили американские телеканалы и издания.

По их информации, отставка связана с «Сигналгейтом» — скандалом из-за утечки конфиденциальной информации о деятельности Белого дома в чат в Signal, куда случайно пригласили главного редактора The Atlantic Джеффри Голдберга.",273715,61,0
